product_id,product_name,category,brand,price,stock_quantity,discount_percentage,selling_price,supplier,date
59,Gucci Leather Belt,Clothing,Raymond,10613,239,49,5412.63,Elite Garments,2024-03-29
60,HRX Yoga Mat,Sports,Adidas,27472,124,16,23076.48,Active Sports Ltd.,2025-04-30
61,Lenovo IdeaPad Slim 3,Electronics,HP,77828,26,22,60705.84,Smart Devices India,2025-01-14
62,Queen Size Bed,Furniture,Damro,49058,22,37,30906.54,Urban Living,2025-02-11
63,Amul Milk 1L,Grocery,TATA,354,811,10,318.6,FreshMart Supplies,2025-10-12
64,Nike Track Pants,Clothing,Levis,12684,123,58,5327.28,StyleWear Distributors,2026-01-18
65,Dumbbell Set,Sports,Nike,27568,27,30,19297.6,Champion Sports Supply,2026-05-16
66,Dell Inspiron 14,Electronics,HP,67809,37,24,51534.84,Tech Distributors Ltd.,2025-09-06
67,Bookshelf,Furniture,Nilkamal,67753,18,28,48782.16,HomeStyle Furnishings,2024-01-06
68,Tata Salt 1kg,Grocery,Dinshaw,465,700,9,423.15,FreshMart Supplies,2025-10-04
69,Denim Jacket,Clothing,Gucci,9606,179,43,5475.42,Fashion Hub,2025-11-02
70,Basketball,Sports,Decathlon,26125,100,10,23512.5,FitGear India,2025-11-14
71,Lenovo IdeaPad Slim 3,Electronics,HP,68446,60,11,60916.94,Digital World Pvt Ltd,2025-05-15
72,Wooden Wardrobe,Furniture,Pepperfry,16141,28,39,9846.01,Urban Living,2026-01-28
73,Amul Milk 1L,Grocery,Parle,698,709,6,656.12,Daily Needs Wholesale,2026-01-29
74,Lacoste Polo T-Shirt,Clothing,Raymond,9851,131,11,8767.39,StyleWear Distributors,2024-05-13
75,Decathlon Backpack,Sports,HRX,2058,57,26,1522.92,FitGear India,2024-08-29
76,Asus Vivobook 15,Electronics,Samsung,35449,70,6,33322.06,Smart Devices India,2025-06-01
77,Study Table,Furniture,Nilkamal,23356,17,27,17049.88,Modern Furniture Co.,2024-03-19
78,Maggi Noodles,Grocery,TATA,414,244,8,380.88,Daily Needs Wholesale,2025-08-20
79,Levi's 511 Jeans,Clothing,Balenciaga,8122,139,20,6497.6,Fashion Hub,2025-02-15
80,Basketball,Sports,Decathlon,16850,132,7,15670.5,Champion Sports Supply,2025-08-27
81,HP Victus,Electronics,Asus,111707,5,16,93833.88,Digital World Pvt Ltd,2024-05-03
82,Office Chair,Furniture,Godrej,71728,15,37,45188.64,Modern Furniture Co.,2024-02-15
83,Aashirvaad Atta 5kg,Grocery,Parle,907,484,2,888.86,FreshMart Supplies,2024-11-28
84,Balenciaga Hoodie,Clothing,Balenciaga,10328,292,28,7436.16,StyleWear Distributors,2024-05-27
85,Gym Gloves,Sports,Nike,9195,77,26,6804.3,Active Sports Ltd.,2024-06-01
86,Dell XPS 13,Electronics,Dell,37998,63,11,33818.22,Smart Devices India,2024-03-25
87,Office Chair,Furniture,Godrej,24154,20,14,20772.44,Urban Living,2024-02-13
88,Sugar 1kg,Grocery,Dinshaw,208,604,3,201.76,FreshMart Supplies,2024-05-31
89,Levi's 511 Jeans,Clothing,Lacoste,984,185,26,728.16,Fashion Hub,2024-12-25
90,HRX Yoga Mat,Sports,HRX,31121,77,19,25208.01,Champion Sports Supply,2025-12-29
91,HP Victus,Electronics,Samsung,84179,19,10,75761.1,Tech Distributors Ltd.,2026-06-12
92,Wooden Wardrobe,Furniture,Damro,42478,27,11,37805.42,Modern Furniture Co.,2025-11-26
93,Fortune Sunflower Oil 1L,Grocery,Fortune,385,567,5,365.75,FreshMart Supplies,2025-03-27
94,Formal Trousers,Clothing,Levis,2064,22,54,949.44,Fashion Hub,2026-07-13
95,Gym Gloves,Sports,Puma,36794,147,12,32378.72,Champion Sports Supply,2025-07-13
96,HP Victus,Electronics,HP,15061,11,11,13404.29,Digital World Pvt Ltd,2024-05-23
97,Sofa Set,Furniture,Nilkamal,71144,11,24,54069.44,Modern Furniture Co.,2024-08-16
98,Fortune Sunflower Oil 1L,Grocery,Amul,728,331,0,728.0,FreshMart Supplies,2025-03-07
99,Formal Trousers,Clothing,Gucci,3020,108,44,1691.2,StyleWear Distributors,2024-03-21
100,Dumbbell Set,Sports,Decathlon,40489,13,21,31986.31,Active Sports Ltd.,2026-01-26
